Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;14,00;14,00;0,00
2019-01-13;43,00;86,00;14,00
2019-01-20;0,00;43,00;0,00
2019-01-27;14,00;29,00;14,00
2019-02-03;0,00;15,00;29,00
2019-02-10;0,00;30,00;60,00
2019-02-17;0,00;30,00;0,00
2019-02-24;30,00;30,00;15,00
2019-03-03;15,00;0,00;0,00
2019-03-10;29,00;0,00;0,00
2019-03-17;30,00;30,00;0,00
2019-03-24;15,00;60,00;0,00
2019-03-31;15,00;30,00;0,00
2019-04-07;0,00;30,00;15,00
2019-04-14;33,00;0,00;0,00
2019-04-21;16,00;16,00;16,00
2019-04-28;15,00;15,00;0,00
2019-05-05;0,00;29,00;0,00
2019-05-12;15,00;0,00;0,00
2019-05-19;30,00;15,00;0,00
2019-05-26;0,00;0,00;0,00
2019-06-02;0,00;15,00;0,00
2019-06-09;0,00;31,00;0,00
2019-06-16;0,00;15,00;0,00
2019-06-23;15,00;0,00;15,00
2019-06-30;15,00;15,00;0,00
2019-07-07;0,00;15,00;0,00
2019-07-14;0,00;0,00;0,00
2019-07-21;0,00;0,00;0,00
2019-07-28;0,00;16,00;16,00
2019-08-04;0,00;16,00;0,00
2019-08-11;0,00;15,00;0,00
2019-08-18;0,00;31,00;0,00
2019-08-25;15,00;61,00;0,00
2019-09-01;44,00;73,00;0,00
2019-09-08;15,00;15,00;0,00
2019-09-15;0,00;15,00;0,00
2019-09-22;0,00;15,00;0,00
2019-09-29;0,00;0,00;29,00
2019-10-06;29,00;0,00;0,00
2019-10-13;0,00;14,00;14,00
2019-10-20;0,00;29,00;14,00
2019-10-27;14,00;0,00;14,00
2019-11-03;0,00;41,00;0,00
2019-11-10;14,00;28,00;0,00
2019-11-17;14,00;42,00;0,00
2019-11-24;0,00;27,00;0,00
2019-12-01;14,00;0,00;0,00
2019-12-08;14,00;0,00;0,00
2019-12-15;14,00;71,00;14,00
2019-12-22;49,00;0,00;16,00
2019-12-29;61,00;0,00;0,00
2020-01-05;54,00;54,00;0,00
2020-01-12;39,00;64,00;13,00
2020-01-19;13,00;13,00;0,00
2020-01-26;13,00;13,00;0,00
2020-02-02;13,00;13,00;13,00
2020-02-09;26,00;13,00;0,00
2020-02-16;13,00;13,00;40,00
2020-02-23;0,00;0,00;0,00
2020-03-01;13,00;26,00;0,00
2020-03-08;37,00;73,00;0,00
2020-03-15;12,00;12,00;0,00
2020-03-22;0,00;0,00;24,00
2020-03-29;0,00;24,00;0,00
2020-04-05;0,00;52,00;0,00
2020-04-12;12,00;0,00;0,00
2020-04-19;97,00;24,00;0,00
2020-04-26;12,00;12,00;0,00
2020-05-03;0,00;24,00;0,00
2020-05-10;0,00;12,00;0,00
2020-05-17;0,00;13,00;0,00
2020-05-24;12,00;37,00;0,00
2020-05-31;24,00;12,00;0,00
2020-06-07;62,00;0,00;0,00
2020-06-14;37,00;12,00;0,00
2020-06-21;0,00;13,00;0,00
2020-06-28;0,00;12,00;12,00
2020-07-05;0,00;13,00;0,00
2020-07-12;0,00;27,00;0,00
2020-07-19;14,00;0,00;0,00
2020-07-26;14,00;14,00;0,00
2020-08-02;0,00;14,00;0,00
2020-08-09;0,00;0,00;0,00
2020-08-16;14,00;27,00;0,00
2020-08-23;14,00;14,00;0,00
2020-08-30;13,00;13,00;0,00
2020-09-06;0,00;0,00;0,00
2020-09-13;27,00;14,00;0,00
2020-09-20;27,00;0,00;0,00
2020-09-27;0,00;0,00;13,00
2020-10-04;0,00;13,00;0,00
2020-10-11;14,00;14,00;0,00
2020-10-18;14,00;0,00;0,00
2020-10-25;0,00;0,00;13,00
2020-11-01;0,00;12,00;0,00
2020-11-08;27,00;14,00;0,00
2020-11-15;13,00;13,00;0,00
2020-11-22;13,00;13,00;0,00
2020-11-29;13,00;0,00;0,00
2020-12-06;26,00;0,00;0,00
2020-12-13;26,00;13,00;0,00
2020-12-20;15,00;0,00;0,00
2020-12-27;15,00;0,00;0,00
2021-01-03;26,00;0,00;13,00
2021-01-10;100,00;0,00;0,00
2021-01-17;12,00;25,00;0,00
2021-01-24;0,00;12,00;0,00
2021-01-31;38,00;0,00;0,00
2021-02-07;13,00;13,00;0,00
2021-02-14;0,00;0,00;0,00
2021-02-21;0,00;13,00;0,00
2021-02-28;0,00;26,00;0,00
2021-03-07;0,00;0,00;0,00
2021-03-14;0,00;24,00;12,00
2021-03-21;13,00;38,00;25,00
2021-03-28;14,00;0,00;0,00
2021-04-04;13,00;13,00;27,00
2021-04-11;25,00;0,00;0,00
2021-04-18;0,00;26,00;0,00
2021-04-25;13,00;0,00;0,00
2021-05-02;0,00;25,00;0,00
2021-05-09;0,00;26,00;0,00
2021-05-16;13,00;25,00;0,00
2021-05-23;0,00;13,00;0,00
2021-05-30;0,00;0,00;0,00
2021-06-06;26,00;26,00;0,00
2021-06-13;14,00;14,00;0,00
2021-06-20;27,00;27,00;27,00
2021-06-27;14,00;0,00;0,00
2021-07-04;0,00;0,00;0,00
2021-07-11;14,00;56,00;0,00
2021-07-18;0,00;30,00;0,00
2021-07-25;0,00;14,00;0,00
2021-08-01;0,00;29,00;0,00
2021-08-08;0,00;30,00;15,00
2021-08-15;0,00;0,00;0,00
2021-08-22;15,00;31,00;0,00
2021-08-29;16,00;0,00;0,00
2021-09-05;15,00;15,00;0,00
2021-09-12;0,00;30,00;15,00
2021-09-19;0,00;31,00;0,00
2021-09-26;0,00;0,00;0,00
2021-10-03;15,00;15,00;0,00
2021-10-10;0,00;53,00;0,00
